model,train_accuracy,cv_accuracy_mean,cv_accuracy_std,test_accuracy,train_precision,cv_precision_mean,cv_precision_std,test_precision,train_recall,cv_recall_mean,cv_recall_std,test_recall,train_f1,cv_f1_mean,cv_f1_std,test_f1
LogisticRegression,0.7885,0.7882,0.0528,0.8689,0.7547,0.7473,0.0477,0.8125,0.7843,0.7933,0.107,0.9286,0.7692,0.7676,0.0716,0.8667
RandomForest,0.9295,0.7706,0.0609,0.8689,0.9388,0.7356,0.0402,0.8333,0.902,0.7533,0.1301,0.8929,0.92,0.7414,0.0846,0.8621
XGBoost,0.9956,0.7398,0.0521,0.8033,0.9903,0.7147,0.0702,0.7857,1.0,0.7052,0.0727,0.7857,0.9951,0.7083,0.0617,0.7857
