model,best_params,train_accuracy,train_precision,train_recall,train_f1,cv_recall_mean,cv_recall_std,test_accuracy,test_precision,test_recall,test_f1
LogisticRegression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7885,0.7547,0.7843,0.7692,0.7933,0.107,0.8689,0.8125,0.9286,0.8667
RandomForest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9295,0.9388,0.902,0.92,0.7533,0.1301,0.8689,0.8333,0.8929,0.8621
XGBoost,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.9956,0.9903,1.0,0.9951,0.7052,0.0727,0.8033,0.7857,0.7857,0.7857
